skill,origin_week,train_size,method,variant,forecast_week,horizon_step,actual,predicted,abs_error,sq_error,pct_error
java,2024-W40,40,ARIMA,arima_es,2024-W43,3,275,271.17,3.829999999999984,14.668899999999878,1.392727272727267
java,2024-W40,40,ARIMA,arima_es,2024-W44,4,276,271.17,4.829999999999984,23.328899999999845,1.7499999999999942
java,2024-W40,40,ES,holt_winters_full,2024-W41,1,248,270.43,22.430000000000007,503.1049000000003,9.04435483870968
java,2024-W40,40,ES,holt_winters_full,2024-W42,2,254,270.39,16.389999999999986,268.6320999999995,6.452755905511806
java,2024-W40,40,ES,holt_winters_full,2024-W43,3,275,270.36,4.639999999999986,21.529599999999874,1.6872727272727224
java,2024-W40,40,ES,holt_winters_full,2024-W44,4,276,270.32,5.680000000000007,32.26240000000008,2.057971014492756
java,2024-W40,40,SARIMAX,sarima,2024-W41,1,248,272.36,24.360000000000014,593.4096000000006,9.822580645161295
java,2024-W40,40,SARIMAX,sarima,2024-W42,2,254,271.23,17.230000000000018,296.87290000000064,6.783464566929141
java,2024-W40,40,SARIMAX,sarima,2024-W43,3,275,271.31,3.6899999999999977,13.616099999999983,1.341818181818181
java,2024-W40,40,SARIMAX,sarima,2024-W44,4,276,271.33,4.670000000000016,21.808900000000147,1.6920289855072521
java,2024-W40,40,XGBoost,xgboost,2024-W41,1,248,267.68,19.680000000000007,387.30240000000026,7.9354838709677455
java,2024-W40,40,XGBoost,xgboost,2024-W42,2,254,266.72,12.720000000000027,161.7984000000007,5.007874015748042
java,2024-W40,40,XGBoost,xgboost,2024-W43,3,275,272.19,2.8100000000000023,7.896100000000013,1.0218181818181826
java,2024-W40,40,XGBoost,xgboost,2024-W44,4,276,272.74,3.259999999999991,10.62759999999994,1.1811594202898517
java,2024-W40,40,naive,naive,2024-W41,1,248,262.0,14.0,196.0,5.64516129032258
java,2024-W40,40,naive,naive,2024-W42,2,254,262.0,8.0,64.0,3.149606299212598
java,2024-W40,40,naive,naive,2024-W43,3,275,262.0,13.0,169.0,4.7272727272727275
java,2024-W40,40,naive,naive,2024-W44,4,276,262.0,14.0,196.0,5.072463768115942
java,2024-W44,44,ARIMA,arima_es,2024-W45,1,270,271.33,1.329999999999984,1.7688999999999577,0.49259259259258664
java,2024-W44,44,ARIMA,arima_es,2024-W46,2,261,270.58,9.579999999999984,91.7763999999997,3.6704980842911814
java,2024-W44,44,ARIMA,arima_es,2024-W47,3,267,270.46,3.4599999999999795,11.971599999999858,1.2958801498127264
java,2024-W44,44,ARIMA,arima_es,2024-W48,4,269,270.44,1.4399999999999977,2.0735999999999937,0.5353159851301107
java,2024-W44,44,ES,holt_winters_full,2024-W45,1,270,268.0,2.0,4.0,0.7407407407407408
java,2024-W44,44,ES,holt_winters_full,2024-W46,2,261,267.89,6.889999999999986,47.47209999999981,2.639846743295014
java,2024-W44,44,ES,holt_winters_full,2024-W47,3,267,267.78,0.7799999999999727,0.6083999999999574,0.29213483146066394
java,2024-W44,44,ES,holt_winters_full,2024-W48,4,269,267.67,1.329999999999984,1.7688999999999577,0.49442379182155544
java,2024-W44,44,SARIMAX,sarima,2024-W45,1,270,271.68,1.6800000000000068,2.822400000000023,0.6222222222222248
java,2024-W44,44,SARIMAX,sarima,2024-W46,2,261,270.75,9.75,95.0625,3.7356321839080464
java,2024-W44,44,SARIMAX,sarima,2024-W47,3,267,270.52,3.519999999999982,12.390399999999872,1.3183520599250869
java,2024-W44,44,SARIMAX,sarima,2024-W48,4,269,270.53,1.5299999999999727,2.3408999999999165,0.5687732342007334
java,2024-W44,44,XGBoost,xgboost,2024-W45,1,270,268.15,1.8500000000000227,3.4225000000000843,0.6851851851851937
java,2024-W44,44,XGBoost,xgboost,2024-W46,2,261,266.03,5.029999999999973,25.300899999999725,1.927203065134089
java,2024-W44,44,XGBoost,xgboost,2024-W47,3,267,269.64,2.6399999999999864,6.969599999999928,0.9887640449438151
